Kristina;Kata
Offensive;Offensive
Neutral;Neutral
Offensive;Offensive
Friendly;Neutral
Friendly;Neutral
Friendly;Friendly
Neutral;Neutral
Neutral;Neutral
Insecure;Insecure
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Neutral;Neutral
Neutral;Neutral
Offensive;Insecure-Offensive
Neutral;Neutral
Insecure;Insecure
 Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
Insecure-Offensive;Insecure-Offensive
Insecure-Offensive;Insecure-Offensive
Insecure-Offensive;Insecure-Offensive
Insecure;Insecure
Insecure-Offensive;Insecure-Offensive
Insecure-Offensive;Insecure
Insecure;Insecure
Insecure;Insecure
Neutral;Neutral
Insecure;Insecure
Insecure;Insecure
Insecure;Insecure
Insecure-Offensive;Insecure-Offensive
Insecure-Offensive;Friendly
Offensive;Insecure-Offensive
Friendly;Insecure
Neutral;Insecure-Offensive
Neutral;Insecure
Friendly;Insecure
Friendly;Friendly
Insecure-Offensive;Neutral
Offensive;Neutral
Offensive;Friendly
Insecure;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Offensive;Insecure-Offensive
Friendly;Friendly
Offensive;Offensive
Friendly;Friendly
Neutral;Neutral
Neutral;Neutral
Insecure;Insecure
Neutral;Insecure
Neutral;Neutral
Neutral;Neutral
Friendly;Friendly
Insecure;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Insecure
Friendly;Friendly
Friendly;Friendly
Neutral;Neutral
Insecure-Offensive;Insecure-Offensive
Insecure-Offensive;Insecure-Offensive
Insecure;Insecure
Insecure-Offensive;Insecure
Neutral;Neutral
Friendly;Friendly
Offensive;Offensive
Friendly;Friendly
Neutral;Neutral
Neutral;Neutral
Insecure;Insecure
Neutral;Insecure
Neutral;Neutral
Insecure-Offensive;Offensive
Offensive;Offensive
Friendly;Friendly
Friendly;Friendly
 Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Insecure-Offensive;Insecure-Offensive
Insecure-Offensive;Offensive
Offensive;Offensive
Friendly;Friendly
Neutral;Neutral
Neutral;Neutral
Neutral;Neutral
Neutral;Neutral
Insecure-Offensive ;Offensive
Neutral;Neutral
Insecure;Insecure
Insecure-Offensive;Insecure
Insecure;Insecure
Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
Insecure-Offensive;Insecure-Offensive
Insecure;Insecure
Insecure;Insecure
Neutral;Neutral
Insecure-Offensive;Insecure-Offensive
Insecure-Offensive ;Insecure-Offensive
Insecure;Insecure
Friendly;Friendly
Neutral;Neutral
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Insecure-Offensive;Insecure-Offensive
Offensive;Insecure-Offensive
Insecure-Offensive;Insecure-Offensive
Friendly;Friendly
Offensive;Offensive
Offensive;Offensive
Offensive;Offensive
Friendly;Friendly
Insecure-Offensive;Insecure-Offensive
Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
Insecure-Offensive;Offensive
Offensive;Friendly
Friendly;Offensive
Friendly;Friendly
Insecure-Offensive;Offensive
Friendly;Friendly
Offensive;Offensive
Friendly;Friendly
Insecure-Offensive;Insecure-Offensive
Offensive;Offensive
Offensive;Offensive
Insecure-Offensive;Insecure-Offensive
Insecure;Insecure
Friendly;Insecure
Friendly;Insecure
Friendly;Insecure
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Offensive;Offensive
Offensive;Offensive
Offensive;Offensive
Offensive;Friendly
 Offensive;Offensive
Friendly;Friendly
Offensive;Offensive
Insecure-Offensive;Neutral
Insecure;Insecure
Insecure;Insecure
Offensive;Offensive
Friendly;Friendly
Offensive;Friendly
Friendly;Friendly
Insecure;Insecure
Offensive;Offensive
Offensive;Offensive
Offensive;Offensive
Insecure;Neutral
Insecure;Neutral
Offensive;Offensive
Friendly;Friendly
Insecure;Insecure
Friendly;Insecure
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Offensive
Offensive;Offensive
Offensive;Offensive
Offensive;Offensive
Offensive;Friendly
Offensive;Offensive
Offensive;Offensive
Neutral;Insecure
Neutral;Neutral
Offensive;Offensive
Friendly;Friendly
Offensive;Offensive
Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
