"","subject","react","attitude","attitude2","X","breed","age","sex","condition","side_fakedog","side_chair","blocking.sum","non.off.manipulation.sum","dom.beh.sum","interaction.dog.sum","dog.approach.sum","sniffing.dog.sum","blocking.presence","non.off.manipulation.presence","dom.beh.presence","interaction.dog.presence","sniffing.dog.presence","human","treatment","z.age"
"1","Akina","Offensive",0,"bad",3,"Akita_Inu",133,"female","SM","left","left",0,0,1,0,1,4,0,0,1,0,1,"S","M",1.61033352688522
"2","Ame","Neutral",1,"good",4,"Akita_Inu",42,"male","CP","right","left",0,0,0,0,1,11,0,0,0,0,1,"C","P",-1.00435998439052
"3","Amie","Friendly",1,"good",5,"mixbreed",18,"female","CP","right","right",5,8,0,1,1,14,1,1,0,1,1,"C","P",-1.69394948186983
"4","Amy8","Insecure-Offensive",0,"bad",6,"Border_Collie",114,"female","CM","left","right",1,0,0,0,1,2,1,0,0,0,1,"C","M",1.06440850804743
"5","Anouk3","Insecure",0,"bad",7,"Labrador_Retriever",41,"female","SP","right","left",6,3,0,7,1,14,1,1,0,1,1,"S","P",-1.03309288011882
"6","Apryl","Insecure-Offensive",0,"bad",8,"Border_Collie",127,"female","CM","left","left",3,0,0,0,1,3,1,0,0,0,1,"C","M",1.43793615251539
"7","Arielle","Insecure",0,"bad",9,"Border_Collie",53,"female","SP","right","left",0,0,0,0,1,1,0,0,0,0,1,"S","P",-0.688298131379166
"8","Arkani2","Insecure",0,"bad",10,"Belgian_Tervuren",64,"male","CM","left","left",0,6,2,0,1,17,0,1,1,0,1,"C","M",-0.372236278367814
"9","Bailey2","Insecure",0,"bad",12,"Stafforshire_Bullterrier",65,"female","SP","left","left",8,0,0,4,1,22,1,0,0,1,1,"S","P",-0.343503382639509
"10","Balian","Friendly",1,"good",13,"Border_Collie",115,"male","SP","left","left",0,0,1,1,1,10,0,0,1,1,1,"S","P",1.09314140377573
"11","Baerbel","Insecure-Offensive",0,"bad",11,"mixbreed",60,"female","SM","right","left",0,0,1,0,1,7,0,0,1,0,1,"S","M",-0.487167861281033
"12","Bella5","Friendly",1,"good",16,"Kangal",86,"female","SM","left","left",0,0,0,0,1,7,0,0,0,0,1,"S","M",0.259887427654891
"13","Blacky","Offensive",0,"bad",17,"mixbreed",99,"male","CM","left","right",2,0,3,1,1,7,1,0,1,1,1,"C","M",0.633415072122854
"14","Butzi","Insecure",0,"bad",18,"Welsh_Corgi_Pembroke",112,"male","SP","right","right",0,0,0,0,1,4,0,0,0,0,1,"S","P",1.00694271659082
"15","Cameron","Insecure",0,"bad",19,"Border_Collie",84,"male","CM","right","right",0,0,0,0,1,3,0,0,0,0,1,"C","M",0.202421636198282
"16","Campino","Insecure",0,"bad",20,"Romanian_Mioritic_Shepherd_dog",31,"male","SM","right","right",0,0,0,0,1,7,0,0,0,0,1,"S","M",-1.32042183740187
"17","Carlisle","Friendly",1,"good",21,"Border_Collie",105,"male","CP","left","left",0,2,0,1,1,7,0,1,0,1,1,"C","P",0.805812446492682
"18","Cassy3","Neutral",1,"good",22,"mixbreed",78,"female","SM","left","right",0,0,0,0,0,1,0,0,0,0,1,"S","M",0.0300242618284532
"19","Chasie","Friendly",1,"good",24,"Border_Collie",125,"female","SM","right","left",3,0,0,0,1,19,1,0,0,0,1,"S","M",1.38047036105878
"20","Cindy7","Friendly",1,"good",25,"mixbreed",155,"female","SP","left","right",0,0,0,0,1,3,0,0,0,0,1,"S","P",2.24245723290792
"21","Cliff","Insecure",0,"bad",26,"Border_Collie",65,"male","CM","left","right",6,43,3,1,1,17,1,1,1,1,1,"C","M",-0.343503382639509
"22","Dada","Insecure",0,"bad",27,"mixbreed",41,"female","SM","right","left",0,0,0,0,1,6,0,0,0,0,1,"S","M",-1.03309288011882
"23","Dante","Friendly",1,"good",28,"Galgo",56,"male","CP","left","left",0,2,0,0,1,13,0,1,0,0,1,"C","P",-0.602099444194252
"24","Dottie","Offensive",0,"bad",29,"mixbreed",108,"female","CP","left","left",0,2,1,2,1,6,0,1,1,1,1,"C","P",0.892011133677597
"25","Dusty","Insecure",0,"bad",30,"Border_Collie",27,"female","CM","left","left",0,0,0,0,1,6,0,0,0,0,1,"C","M",-1.43535342031509
"26","Eisbaer","Insecure-Offensive",0,"bad",31,"Malteser",18,"male","SP","right","right",0,0,2,0,1,7,0,0,1,0,1,"S","P",-1.69394948186983
"27","Emil6","Offensive",0,"bad",32,"mixbreed",87,"male","CP","left","left",6,0,0,2,1,12,1,0,0,1,1,"C","P",0.288620323383196
"28","Emil7","Friendly",1,"good",33,"Parson_Russel_Terrier",51,"male","CM","right","left",6,3,0,0,1,16,1,1,0,0,1,"C","M",-0.745763922835776
"29","Emily2","Insecure",0,"bad",34,"Border_Collie",136,"female","CP","right","left",0,0,0,0,1,3,0,0,0,0,1,"C","P",1.69653221407013
"30","Emily7","Insecure",0,"bad",35,"mixbreed",130,"female","SP","right","left",0,0,0,0,1,7,0,0,0,0,1,"S","P",1.5241348397003
