"","subject","breed","age","sex","condition","side_fakedog","side_chair","blocking.sum","non.off.manipulation.sum","dom.beh.sum","interaction.dog.sum","dog.approach.sum","sniffing.dog.sum","blocking.presence","non.off.manipulation.presence","dom.beh.presence","interaction.dog.presence","sniffing.dog.presence","human","treatment"
"1","Aeden","Border_Collie",138,"male","SM","left","left",0,0,0,0,0,0,0,0,0,0,0,"S","M"
"2","Akin","Rhodesian_Ridgeback",126,"male","CM","left","left",0,0,0,0,0,0,0,0,0,0,0,"C","M"
"3","Akina","Akita_Inu",133,"female","SM","left","left",0,0,1,0,1,4,0,0,1,0,1,"S","M"
"4","Ame","Akita_Inu",42,"male","CP","right","left",0,0,0,0,1,11,0,0,0,0,1,"C","P"
"5","Amie","mixbreed",18,"female","CP","right","right",5,8,0,1,1,14,1,1,0,1,1,"C","P"
"6","Amy8","Border_Collie",114,"female","CM","left","right",1,0,0,0,1,2,1,0,0,0,1,"C","M"
"7","Anouk3","Labrador_Retriever",41,"female","SP","right","left",6,3,0,7,1,14,1,1,0,1,1,"S","P"
"8","Apryl","Border_Collie",127,"female","CM","left","left",3,0,0,0,1,3,1,0,0,0,1,"C","M"
"9","Arielle","Border_Collie",53,"female","SP","right","left",0,0,0,0,1,1,0,0,0,0,1,"S","P"
"10","Arkani2","Belgian_Tervuren",64,"male","CM","left","left",0,6,2,0,1,17,0,1,1,0,1,"C","M"
"11","Baerbel","mixbreed",60,"female","SM","right","left",0,0,1,0,1,7,0,0,1,0,1,"S","M"
"12","Bailey2","Stafforshire_Bullterrier",65,"female","SP","left","left",8,0,0,4,1,22,1,0,0,1,1,"S","P"
"13","Balian","Border_Collie",115,"male","SP","left","left",0,0,1,1,1,10,0,0,1,1,1,"S","P"
"14","Barbarix2","Bearded_Collie",78,"male","CM","left","right",0,0,0,0,0,0,0,0,0,0,0,"C","M"
"15","Batman","Jack_Russel_Terrier",142,"male","SP","right","left",0,0,0,0,0,0,0,0,0,0,0,"S","P"
"16","Bella5","Kangal",86,"female","SM","left","left",0,0,0,0,1,7,0,0,0,0,1,"S","M"
"17","Blacky","mixbreed",99,"male","CM","left","right",2,0,3,1,1,7,1,0,1,1,1,"C","M"
"18","Butzi","Welsh_Corgi_Pembroke",112,"male","SP","right","right",0,0,0,0,1,4,0,0,0,0,1,"S","P"
"19","Cameron","Border_Collie",84,"male","CM","right","right",0,0,0,0,1,3,0,0,0,0,1,"C","M"
"20","Campino","Romanian_Mioritic_Shepherd_dog",31,"male","SM","right","right",0,0,0,0,1,7,0,0,0,0,1,"S","M"
"21","Carlisle","Border_Collie",105,"male","CP","left","left",0,2,0,1,1,7,0,1,0,1,1,"C","P"
"22","Cassy3","mixbreed",78,"female","SM","left","right",0,0,0,0,0,1,0,0,0,0,1,"S","M"
"23","Charly5","Spanish_water_dog",36,"male","SP","left","left",0,0,0,0,0,0,0,0,0,0,0,"S","P"
"24","Chasie","Border_Collie",125,"female","SM","right","left",3,0,0,0,1,19,1,0,0,0,1,"S","M"
"25","Cindy7","mixbreed",155,"female","SP","left","right",0,0,0,0,1,3,0,0,0,0,1,"S","P"
"26","Cliff","Border_Collie",65,"male","CM","left","right",6,43,3,1,1,17,1,1,1,1,1,"C","M"
"27","Dada","mixbreed",41,"female","SM","right","left",0,0,0,0,1,6,0,0,0,0,1,"S","M"
"28","Dante","Galgo",56,"male","CP","left","left",0,2,0,0,1,13,0,1,0,0,1,"C","P"
"29","Dottie","mixbreed",108,"female","CP","left","left",0,2,1,2,1,6,0,1,1,1,1,"C","P"
"30","Dusty","Border_Collie",27,"female","CM","left","left",0,0,0,0,1,6,0,0,0,0,1,"C","M"
"31","Eisbaer","Malteser",18,"male","SP","right","right",0,0,2,0,1,7,0,0,1,0,1,"S","P"
"32","Emil6","mixbreed",87,"male","CP","left","left",6,0,0,2,1,12,1,0,0,1,1,"C","P"
"33","Emil7","Parson_Russel_Terrier",51,"male","CM","right","left",6,3,0,0,1,16,1,1,0,0,1,"C","M"
"34","Emily2","Border_Collie",136,"female","CP","right","left",0,0,0,0,1,3,0,0,0,0,1,"C","P"
